batch,track,artists,album,popularity,explicit,uri,query
01_g_eazy_core_english,Him & I,"G-Eazy, Halsey",The Beautiful & Damned (Deluxe Edition),,True,spotify:track:2lNdc3jjPV4aWEfKH0gvH2,"artist:""G-Eazy"""
01_g_eazy_core_english,Him & I (with Halsey),"G-Eazy, Halsey",The Beautiful & Damned,,True,spotify:track:5k38wzpLb15YgncyWdTZE4,"artist:""G-Eazy"""
01_g_eazy_core_english,"Me, Myself & I","G-Eazy, Bebe Rexha",When It's Dark Out (Deluxe Edition),,True,spotify:track:5TL04XPWpL2rTK7HLBWK6N,"artist:""G-Eazy"""
01_g_eazy_core_english,LET THE WORLD BURN (with G-Eazy & Ari Abdul) - Remix,"Chris Grey, G-Eazy, Ari Abdul",LET THE WORLD BURN (with G-Eazy & Ari Abdul) [Remix],,True,spotify:track:5wNDRMkoysXZGiW4ja5Tik,"artist:""G-Eazy"""
01_g_eazy_core_english,You Don't Own Me (feat. G-Eazy),"SAYGRACE, G-Eazy",FMA,,True,spotify:track:6KI1ZpZWYAJLvmVhCJz65G,"artist:""G-Eazy"""
01_g_eazy_core_english,No Limit,"G-Eazy, A$AP Rocky, Cardi B",The Beautiful & Damned,,True,spotify:track:2DQ1ITjI0YoLFzuADN1ZBW,"""G-Eazy"" remix"
01_g_eazy_core_english,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,"Masked Wolf, DDG, G-Eazy",Astronaut In The Ocean (Remix) [feat. G-Eazy & DDG],,True,spotify:track:1NawUUW8GmiRbJ9UkaKGY4,"""G-Eazy"" remix"
01_g_eazy_core_english,Tumblr Girls (feat. Christoph Andersson),"G-Eazy, Christoph Andersson",These Things Happen,,True,spotify:track:4Fv6wNYUixnYkj3Dgfrls8,"""G-Eazy"" remix"
01_g_eazy_core_english,Mi Cama - Remix,"KAROL G, J Balvin, Nicky Jam",Mi Cama (Remix),,False,spotify:track:38QmUDpkoYlNbMKvpvAsrE,"""G-Eazy"" remix"
01_g_eazy_core_english,Mi Cama - Remix,"KAROL G, J Balvin, Nicky Jam",OCEAN,,False,spotify:track:5yV2jwp1AZnulVkiWEorq7,"""G-Eazy"" remix"
01_g_eazy_core_english,"Black and Yellow (feat. Juicy J, Snoop Dogg & T-Pain) - G-Mix","Wiz Khalifa, Juicy J, Snoop Dogg, T-Pain",Rolling Papers (Deluxe 10 Year Anniversary Edition),,True,spotify:track:5IdzhiIoGFVOkSKHyglOta,"""G-Eazy"" remix"
01_g_eazy_core_english,GHANIMA,Marwan Pablo,EN7RAF,,True,spotify:track:6zhY6n7mfAnCW5zzmV6EX8,"""G-Eazy"" remix"
01_g_eazy_core_english,Garee2,"Mond, El Waili",Garee2,,False,spotify:track:6XKzZqXcUVVq8uqpT30WtB,"""G-Eazy"" remix"
01_g_eazy_core_english,I Mean It (feat. Remo),"G-Eazy, Remo the Hitmaker",These Things Happen,,True,spotify:track:6jmTHeoWvBaSrwWttr8Xvu,"""G-Eazy"" feat"
01_g_eazy_core_english,Same Bitches (feat. G-Eazy & YG),"Post Malone, G-Eazy, YG",beerbongs & bentleys,,True,spotify:track:688QpQAwqsLdBR6lr13wK1,"""G-Eazy"" feat"
01_g_eazy_core_english,Not Alike (feat. Royce Da 5'9),"Eminem, Royce Da 5'9""",Kamikaze,,True,spotify:track:28FGV3ORH14MYORd7s5dlU,"""G-Eazy"" feat"
01_g_eazy_core_english,"No Limit REMIX (feat. A$AP Rocky, French Montana, Juicy J & Belly)","G-Eazy, A$AP Rocky, French Montana, Juicy J, Belly","No Limit REMIX (feat. A$AP Rocky, French Montana, Juicy J & Belly)",,True,spotify:track:4yfdnCOjuDwf2Ivpo8vg8H,"""G-Eazy"" feat"
01_g_eazy_core_english,FLEXIN,Marwan Pablo,٥ نظام,,False,spotify:track:4hilPZuJldFY5ACcNRAzQv,"""G-Eazy"" feat"
01_g_eazy_core_english,333,"Tommyy, Lil Noby, Husayn",EL 3ARAB,,False,spotify:track:4UBQg7ZxU1hrAaNFvzS10C,"""G-Eazy"" feat"
01_g_eazy_core_english,Gas Lighting,Nevv,Confessions of a Broken Man,,True,spotify:track:6CTz65gF78rZW0erg1hGi3,"""G-Eazy"" type rap"
01_g_eazy_core_english,Not Alike (feat. Royce Da 5'9),"Eminem, Royce Da 5'9""",Kamikaze,,False,spotify:track:3kDMzYuhGlrdrWBaQi6xRZ,"""G-Eazy"" type rap"
01_g_eazy_core_english,Type Of Niggas,1000watts,Rap Game Eazy Volume 3,,True,spotify:track:0YKSxFOT8NgpUHkJfkRV81,"""G-Eazy"" type rap"
01_g_eazy_core_english,AURA,Marwan Pablo,EN7RAF,,False,spotify:track:3M4DRqS84IvGSmAH7BTDuF,"""G-Eazy"" type rap"
01_g_eazy_core_english,EL NAGHZA,"Abyusif, Arsenik",EL NAGHZA,,False,spotify:track:01SBYMQIsFTaBdxcKTcHMF,"""G-Eazy"" type rap"
01_g_eazy_core_english,The Beat G Eazy Lost The 2021 Freestyle In Type Beat SQB 18,Sqweeze Beats,"Rap Beats & Hooks, Vol. 3",,False,spotify:track:3MqXgkksTLws5P4SizcpdM,"""G-Eazy"" type rap"
01_g_eazy_core_english,Freezing Rap Game - Rap Instrumental Long 2017 Mix,Cletus Eazy Drake,"Not Used to This Type of Bling, Vol. 1",,False,spotify:track:55sdullGPJ8LXl9B373AED,"""G-Eazy"" type rap"
01_g_eazy_core_english,Dark Gansta Beat - Rap Instrumental 2017 Mix,Cletus Eazy Drake,"Not Used to This Type of Bling, Vol. 1",,False,spotify:track:0jNj4HLxBlUdBqGI3ZGPak,"""G-Eazy"" type rap"
01_g_eazy_core_english,"Me, Myself & I","fenekot, Seon, Drex Carter","Me, Myself & I",,False,spotify:track:6Ln7dIucQFcVGmh1NrvIva,"""Me Myself & I"" rap"
01_g_eazy_core_english,The Next Rap God,Dax,The Next Rap God,,True,spotify:track:5PJhqOoJ2VZDDSNi6AJhqm,"""Me Myself & I"" rap"
01_g_eazy_core_english,"Me, Myself & I","G-Eazy, Bebe Rexha",When It's Dark Out,,False,spotify:track:6Us2pTB7tdHp8QOMus6elQ,"""Me Myself & I"" rap"
01_g_eazy_core_english,Peter (feat. Tech N9ne),"Token, Tech N9ne",I’m Not Supposed To Be Here,,True,spotify:track:2g4p2WtBT2Pvy7tNwoQYvI,"""Me Myself & I"" rap"
01_g_eazy_core_english,Outcast,NF,Perception,,False,spotify:track:0we7ShV1o6cPTFjxOADPbC,"""Me Myself & I"" rap"
01_g_eazy_core_english,"Me, Myself and I (Reprise)",Flow Phenom,"Hip Hop Beats, Vol. 8",,False,spotify:track:0CKC1ptLRoQKcnG5JhbX0H,"""Me Myself & I"" rap"
01_g_eazy_core_english,I Stand On That (feat. Joyner Lucas & T.I.),"E-40, T.I., Joyner Lucas",I Stand On That (feat. Joyner Lucas & T.I.),,True,spotify:track:2OPmBE9njSrDBdhpHIfDn2,"""Me Myself & I"" rap"
01_g_eazy_core_english,Sex Sounds,Lil Tjay,True 2 Myself,,True,spotify:track:5JtvedSVWW9McnoEAPJwQm,"""Me Myself & I"" rap"
01_g_eazy_core_english,Solo para Mi,Ruddi Nizz,Locura y Soledad,,True,spotify:track:2268rT8GHj2WA3uotFQqmd,"""Me Myself & I"" rap"
01_g_eazy_core_english,No Limits,DaniLeigh,No Limits,,True,spotify:track:5cPdJLM4dTbC3YPs2jYAoe,"""No Limit"" rap"
01_g_eazy_core_english,Stay With Me,1nonly,Stay With Me,,True,spotify:track:4rSfauDT5mDZEkgKScAdDy,"""No Limit"" rap"
01_g_eazy_core_english,VAR,"Afroto, Wezza Montaser",VAR,,False,spotify:track:4JZFh2ZS6i0J3lpNBtgDR7,"""No Limit"" rap"
01_g_eazy_core_english,RUN IT,Stray Kids,RUN IT,,False,spotify:track:0D7q3I9Hpi7bBuFd2OFp1s,"""No Limit"" rap"
01_g_eazy_core_english,Adrenaline,ATEEZ,GOLDEN HOUR : Part.4,,False,spotify:track:2VKGO4DNyUK5UxCQB3b3DF,"""No Limit"" rap"
01_g_eazy_core_english,Abu Mecca,Marwan Pablo,Abu Mecca,,False,spotify:track:7fxNqG3Kch1LPVyw1PW5Pi,"""No Limit"" rap"
01_g_eazy_core_english,Boomshakalaka,"Starlito, Don Trip",Step Brothers THREE,,True,spotify:track:1Rr3s0QLgvsl7i6371SYMV,"""No Limit"" rap"
01_g_eazy_core_english,Boomshakalaka,"Starlito, Don Trip",Step Brothers THREE,,False,spotify:track:7CjdsS1jKWauLNRfZz89pE,"""No Limit"" rap"
01_g_eazy_core_english,I Mean It REMIX (feat. Rick Ross & Remo),"G-Eazy, Rick Ross, Remo the Hitmaker",I Mean It REMIX (feat. Rick Ross & Remo),,True,spotify:track:56Eh85ELaB7AkBI9QWbBZT,"""I Mean It"" rap"
01_g_eazy_core_english,Dies Irae feat. Black Prez,"Apashe, Black Prez",Requiem,,False,spotify:track:5nafRIDshs3RwVO0sxxgac,"""I Mean It"" rap"
01_g_eazy_core_english,Fuel - Shady Edition,"Eminem, WESTSIDE BOOGIE, GRIP",The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition,,True,spotify:track:68IkI6ttYOzNyS5iW2Zx70,"""I Mean It"" rap"
01_g_eazy_core_english,Get It Done,"King Von, OMB Peezy",What It Means To Be King,,True,spotify:track:4IWwjybVNBeedHYQaBG1rW,"""I Mean It"" rap"
01_g_eazy_core_english,PLEASE DONT FEED THE WOLVES,Amir Ali,HIGH STREET,,True,spotify:track:7fDorJt0lOFaSX6e5YCEKm,"""I Mean It"" rap"
01_g_eazy_core_english,Internet Track,hashiriya,Psychatrie EP,,True,spotify:track:4c6Bms2XVRmjDrWa3b6Ol9,"""I Mean It"" rap"
01_g_eazy_core_english,Kermit Drip,"Max Austin, Total Worm",Kermit Drip,,False,spotify:track:2DVuGBuFmbKXzYlOe6D4LT,"""I Mean It"" rap"
01_g_eazy_core_english,ID,"Mond, Evo",AMEN,,False,spotify:track:0zAPYUrzoc321xgy4auzP8,"""I Mean It"" rap"
01_g_eazy_core_english,На все 100,Fusion a.k.a EazyWin,На все 100,,False,spotify:track:4SIpmvKRNzjv1w2P49MBof,g eazy style
01_g_eazy_core_english,Shiny Easykid (Turreo Edit) - Rkt,Pablo Mixer,Shiny Easykid (Turreo Edit) [Rkt],,False,spotify:track:72RAUDIG7uopnDcolhKvjf,g eazy style
01_g_eazy_core_english,Easy,"Guau, Basstyler",Easy,,False,spotify:track:6Nnzjbd8ya8tHUI9f7fOHM,g eazy style
01_g_eazy_core_english,Ya Helwa Blil,DizzyTooSkinny,Ya Helwa Blil,,False,spotify:track:2OFXqFqZciTrzpG4NMwH1S,g eazy style
01_g_eazy_core_english,Ghaba,Marwan Pablo,CTRL,,False,spotify:track:7DRO3vmEuuLZCMQip3A0gR,g eazy style
01_g_eazy_core_english,El Gemeza,Marwan Pablo,El Gemeza,,False,spotify:track:14u6JosQAL3YAyXCZ7pbL4,g eazy style
01_g_eazy_core_english,Hoes Come Easy,RJMrLA,O.M.M.I.O 2,,True,spotify:track:1tVwKHwJ5OfNGIyAuM8HLL,bay area rap club
01_g_eazy_core_english,Cake (Club Mix),Rich Valentine,Cake (Club Mix),,True,spotify:track:640pFhJRj2gtrmNtIsDL1v,bay area rap club
01_g_eazy_core_english,CAJH DAY*,AG Club,BRODIE WORLD,,True,spotify:track:2HdK9EPhdMiLXbqpvwTXNf,bay area rap club
01_g_eazy_core_english,Real N***A Roll Call,"Lil Jon & The East Side Boyz, Ice Cube",Crunk Juice,,True,spotify:track:3HnhrVBybVBzp9yEQcAzfC,bay area rap club
01_g_eazy_core_english,AYZANI,Bayou,AYZANI,,False,spotify:track:65opn1GI1WWZ5j7NJMQuRL,bay area rap club
01_g_eazy_core_english,Ah,"Bayou, Nasser",'02 brince,,False,spotify:track:4BC0B5hHHDNZDFz4jw3tVo,bay area rap club
01_g_eazy_core_english,California Love - Original Version,"2Pac, Roger, Dr. Dre",Greatest Hits,,True,spotify:track:3ia3dJETSOllPsv3LJkE35,bay area rap club
01_g_eazy_core_english,BO$$ CHICK,Saweetie,THE SINGLE LIFE,,True,spotify:track:0FAKS4dY2MADctcsPbmUvm,bay area rap club
01_g_eazy_core_english,Car Clubz Ride,Speedy Loc,Cali Thuggin,,True,spotify:track:1hFKxspDq1AIGEe4i9HAte,bay area rap club
01_g_eazy_core_english,California Love - Original Version,"2Pac, Roger, Dr. Dre",Greatest Hits,,False,spotify:track:1JClFT74TYSXlzpagbmj0S,bay area rap club
01_g_eazy_core_english,I Just Wanna Party,"YG, ScHoolboy Q, Jay Rock",My Krazy Life,,True,spotify:track:17Lmf8pUgrRrEKIKkuZirE,west coast party rap
01_g_eazy_core_english,Party We Will Throw Now!,"Warren G, Nate Dogg, The Game",Party We Will Throw Now! - Single,,True,spotify:track:0KbIwqCAHmXWu7hrszXY6j,west coast party rap
01_g_eazy_core_english,Wings,Shoreline Mafia,Party Pack. Vol 2,,True,spotify:track:0MdSezTbC54SIPQkXrvHrp,west coast party rap
01_g_eazy_core_english,Westside Story,"The Game, 50 Cent",The Documentary,,True,spotify:track:0lOe1dR2TNkJMCjIcRuw6T,west coast party rap
01_g_eazy_core_english,Family Matters,Drake,Family Matters,,True,spotify:track:1wFFFzJ5EsKbBWZriAcubN,west coast party rap
01_g_eazy_core_english,Pure Water (with Migos),"Mustard, Migos",Perfect Ten,,True,spotify:track:3j84U36KvLeXNDPv4t5pI8,west coast party rap
01_g_eazy_core_english,Rockstars,"Charisma NP, Kxng Ramsey, OMACC",Rockstars,,True,spotify:track:6rdiDHvZjw2aw50VBU9CC8,west coast party rap
01_g_eazy_core_english,Bel Salama - Lorry Pt. 2 Remix,"Molotof, Wegz",Bel Salama (Lorry Pt. 2 Remix),,False,spotify:track:6MFIPU56svzgtDdy5fwmf9,west coast party rap
01_g_eazy_core_english,3Doggy's (feat. SIMOIKY & GOORA),"FU-G, SIMOIKY, GOORA",INSTINCT SOUND,,True,spotify:track:1KSaWQJob9wXHOSJyn16Q7,west coast party rap
01_g_eazy_core_english,Jae's Intro,Kageman,777,,True,spotify:track:3GZMcu22jhXrzIzRzXSleE,west coast party rap
02_english_night_drive_rap,Nightdrive,"Young Mask, Vayne",Nightdrive,,True,spotify:track:1KGTTqjweTXYEyt3HsZ2P6,night drive rap
02_english_night_drive_rap,Zim Zimma,Joyner Lucas,Evolution,,True,spotify:track:7g9DNzAU2QP88rE4BgIJpp,night drive rap
02_english_night_drive_rap,Late Night Drive 2012,"Drawn To The Sky, MedizenKid",Late Night Drive 2012,,False,spotify:track:2rxaT6rEQqt3if7CGkHDcP,night drive rap
02_english_night_drive_rap,Solar Drive @ Night,Tory Lanez,DAYSTAR,,True,spotify:track:01qXv30NBRezWvfFCuXKWr,night drive rap
02_english_night_drive_rap,Yazmeely,Mond,Origins: قبل انتفاضة,,False,spotify:track:0tcGlGR27zistncQhiNKDb,night drive rap
02_english_night_drive_rap,Dirrty (feat. Redman),"Christina Aguilera, Redman",Stripped,,False,spotify:track:59ZTxQo8rBycIXPLUIKvE2,night drive rap
02_english_night_drive_rap,Apple,Charli xcx,Brat and it’s completely different but also still brat,,False,spotify:track:0ErkCg7ofJBB10DohIHga4,night drive rap
02_english_night_drive_rap,Already All Right,Bob Peace,Ready To Live,,False,spotify:track:6rAUVJFphhAdG4dntjVp7z,night drive rap
02_english_night_drive_rap,Already All Right,Bob Peace,Ready To Live (Clean),,False,spotify:track:4wVOaWwH93xIJcnMezWBw6,night drive rap
02_english_night_drive_rap,Straight Out the Gate,"Tech N9ne, Krizz Kaliko, Serj Tankian",Something Else,,True,spotify:track:4hsncV3bzuB83dBJcnSCBl,dark melodic rap
02_english_night_drive_rap,Layali Aloomek,Dark,Layali Aloomek,,False,spotify:track:5A5fHSZl25fRenGgPd482K,dark melodic rap
02_english_night_drive_rap,Dark Thoughts,Lil Tecca,Dark Thoughts,,True,spotify:track:7EW7Yivb93qKAtp5qEm5of,dark melodic rap
02_english_night_drive_rap,Hustler's Ambition,50 Cent,Hustler's Ambition,,True,spotify:track:5gywetbpQvCD8TqcAdYc0f,dark melodic rap
02_english_night_drive_rap,Lady Of Namek,Tory Lanez,Alone At Prom,,True,spotify:track:6ieWL5CLN9WdC875guWtMe,dark melodic rap
02_english_night_drive_rap,Hustler's Ambition,50 Cent,Best Of 50 Cent,,True,spotify:track:0dZlON0G0od05O549PikZU,dark melodic rap
02_english_night_drive_rap,I LIKE,Tory Lanez,I LIKE,,True,spotify:track:5uKHTLXNcftXtYfU7j9cQ6,dark melodic rap
02_english_night_drive_rap,TRIP,Afroto,TRIP,,False,spotify:track:0cqalBJaHnliD9jONcyplZ,dark melodic rap
02_english_night_drive_rap,Hustler's Ambition,50 Cent,Get Rich Or Die Tryin'- The Original Motion Picture Soundtrack,,True,spotify:track:7t67S1XHT4jU0GCkruG34R,dark melodic rap
02_english_night_drive_rap,Wish I Never Met You - Prison Tapes,Tory Lanez,Wish I Never Met You (Prison Tapes),,True,spotify:track:7MOjhqpSpGkeRyT4agpg12,dark melodic rap
02_english_night_drive_rap,Fake Love,Phil Smooth,Fake Love,,True,spotify:track:4lHRE8ocFtktBUV2MEuaq5,smooth trap rap
02_english_night_drive_rap,Leader Bang!,"Tade Dust, Bonbero",Smooth Criminal,,True,spotify:track:7eyt1h3vPhedeDwRRLa1cG,smooth trap rap
02_english_night_drive_rap,No Role Modelz,J. Cole,2014 Forest Hills Drive,,True,spotify:track:68Dni7IE4VyPkTOH9mRWHr,smooth trap rap
02_english_night_drive_rap,Testify,6LACK,Since I Have A Lover,,True,spotify:track:3kafzvowAyLtjs6TRFaRdj,smooth trap rap
02_english_night_drive_rap,Rock Bottom,"JACE, KDM Shey, Dicken 45",Rock Bottom,,True,spotify:track:3Hl6Unt1ShdDVDQTWmqrES,smooth trap rap
02_english_night_drive_rap,"First Day Out (Freestyle), Pt. 2",Rundown Spaz,"First Day Out (Freestyle), Pt. 2",,True,spotify:track:43DRYHCJWpKCGblFKAqzGJ,smooth trap rap
02_english_night_drive_rap,Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",Blow for Blow (feat. J. Cole),,True,spotify:track:3rXlcLZk3MCaRPND5g9QiW,smooth trap rap
02_english_night_drive_rap,OGRA,"Xander Ghost, Marwan Pablo",OGRA,,False,spotify:track:5wQbMKn21YLtviGNWFmhpV,smooth trap rap
02_english_night_drive_rap,Moment Of Truth,Gang Starr,Moment Of Truth,,True,spotify:track:1fotoYONO343JjbC8XvPSl,smooth trap rap
02_english_night_drive_rap,The call,Young Wunna 2093,Seasons,,False,spotify:track:0hlaTMO0LSvNLlJKCF72fQ,smooth trap rap
02_english_night_drive_rap,Por Mi México (Remix),"Lefty Sm, Santa Fe Klan, Dharius, C-Kan, MC Davo, Neto Peña",Por Mi México (Remix),,True,spotify:track:2m3Fqmw1mfs39KklPmjq79,late night hip hop
02_english_night_drive_rap,Dead And Gone,"T.I., Justin Timberlake",Paper Trail,,True,spotify:track:7IhsLJMqdxoo7YAZjaSMru,late night hip hop
02_english_night_drive_rap,late at night,Roddy Ricch,late at night,,True,spotify:track:1fxYz1s15pyZLsJT0Hdh1m,late night hip hop
02_english_night_drive_rap,"Hip-Hop (feat. BigXthaPlug, Jay Jones)","Lil Wayne, BigXthaPlug, Jay Jones",Tha Carter VI,,True,spotify:track:0t5LNjml8LTuAPiEfD7zFN,late night hip hop
02_english_night_drive_rap,through the late night,Travis Scott,Birds In The Trap Sing McKnight,,False,spotify:track:2JVsVUgUH0uOHV1Sysy1wC,late night hip hop
02_english_night_drive_rap,Thong Song,Sisqo,Unleash The Dragon,,True,spotify:track:5Mmk2ii6laakqfeCT7OnVD,late night hip hop
02_english_night_drive_rap,Trap Queen,Fetty Wap,late night hip-hop,,True,spotify:track:03cmvRYavbsC3k89cKJb0j,late night hip hop
02_english_night_drive_rap,Up All Night,"Drake, Nicki Minaj",Thank Me Later (Int'l Version),,True,spotify:track:55YHftnlehUQQJoTSLKCxj,late night hip hop
02_english_night_drive_rap,23,"Mike WiLL Made-It, Miley Cyrus, Wiz Khalifa, Juicy J",23,,True,spotify:track:20FZrLl9zSbO9b3DhaqO6M,late night hip hop
02_english_night_drive_rap,Another Late Night (feat. Lil Yachty),"Drake, Lil Yachty",For All The Dogs,,True,spotify:track:17IBDpAl3J39swaoPlfGpp,late night hip hop
02_english_night_drive_rap,Hollywood's Bleeding,Post Malone,Hollywood's Bleeding,,False,spotify:track:7sWRlDoTDX8geTR8zzr2vt,melodic hip hop
02_english_night_drive_rap,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",The Melodic Blue,,True,spotify:track:3QFInJAm9eyaho5vBzxInN,melodic hip hop
02_english_night_drive_rap,NISSAN ALTIMA,Doechii,Alligator Bites Never Heal,,True,spotify:track:2dKkVF2m160z0RNDN2dddc,melodic hip hop
02_english_night_drive_rap,Melodies,Marwan Pablo,آخر قطعة فنية,,False,spotify:track:0izKRFFUPvOctUpMVo9XIN,melodic hip hop
02_english_night_drive_rap,16,Baby Keem,The Melodic Blue,,True,spotify:track:1Is8hGpkGMiePASAxBluxM,melodic hip hop
02_english_night_drive_rap,Wish (feat. Trippie Redd) - Trippie Mix,"Diplo, Trippie Redd",LIFE'S A TRIP,,True,spotify:track:0c0YHn3DIQLl1opsQDd9kO,melodic hip hop
02_english_night_drive_rap,Moody! (feat. Saba),"Jean Deaux, Saba",Watch This!,,True,spotify:track:3GH8eacML602pwvPdKiLAc,moody rap
02_english_night_drive_rap,Moody Girl,Megan Thee Stallion,MEGAN,,True,spotify:track:0GahO8wCb34TPeUKbtBJku,moody rap
02_english_night_drive_rap,Oof,"Mehrad Hidden, Saman Wilson, Sohrab Mj, Moody Moussavi",Oof,,False,spotify:track:4BVUvulb6oZF6jdC0t9El5,moody rap
02_english_night_drive_rap,kendrick,Moody2k,"Moody Tape, Vol. 3",,False,spotify:track:6maUZYu8l6k5g6jn65F3YE,moody rap
02_english_night_drive_rap,Dancin - Tapesh Remix,"Aaron Smith, Luvli, Tapesh",Dancin,,False,spotify:track:4981L0rXyJJlMavtcvgdYM,moody rap
02_english_night_drive_rap,"Bitch, Please","Hodak, 2K","Moody Tapes, Volume One",,True,spotify:track:03Tg2kr82BP8dexHDjNk5e,moody rap
02_english_night_drive_rap,Rez2Y,"Mond, EVO",Origins: قبل انتفاضة,,False,spotify:track:6cpVFyQdoyKVGAah0peGxg,moody rap
02_english_night_drive_rap,AMTAR,Mousv,El Sahaba Bonus,,False,spotify:track:5AGeNYpstVBpFn8IW2KqS7,moody rap
02_english_night_drive_rap,Real Gone,Sheryl Crow,Cars (Original Motion Picture Soundtrack),,False,spotify:track:45dGKmN6jw7PgK6Dw2rEp2,rap for driving
02_english_night_drive_rap,Oh U Went,"Young Thug, Drake",Chill Rap for Driving,,True,spotify:track:02tvUbCeRQ5XxuA93Xbwsi,rap for driving
02_english_night_drive_rap,Racore,Marwan Pablo,Racore,,False,spotify:track:2GNRfmePF0jpLKYge37MFw,rap for driving
02_english_night_drive_rap,"Kick, Push",Lupe Fiasco,Chill Rap for Driving,,False,spotify:track:5hj9zGSqeZHiHR886lawMS,rap for driving
02_english_night_drive_rap,Never Have I Ever,Rainbow Kitten Surprise,Never Have I Ever,,False,spotify:track:2Ojr742JINM4QEOk7vQGEh,rap for driving
02_english_night_drive_rap,Congratulations,"Mac Miller, Bilal",Chill Rap for Driving,,True,spotify:track:3ah8JcbGpiOcfZmMcDyxD5,rap for driving
02_english_night_drive_rap,Never Have I Ever,Rainbow Kitten Surprise,Next-Gen Alternative,,False,spotify:track:6O8FbMRJgNm6bEkKaG7EZa,rap for driving
02_english_night_drive_rap,NIGHTFALL (feat. Dro Kenji),"Boslen, Dro Kenji",DUSK to DAWN,,True,spotify:track:04EvAhYmelTjLIxWzK7JLm,club rap night
02_english_night_drive_rap,2 Faced,Lil Sleep,Sleepless,,True,spotify:track:7rl6ydratKcJCeIkC4gdQu,club rap night
02_english_night_drive_rap,Club Close,"Juicy J, Wiz Khalifa",Stoner's Night,,True,spotify:track:0YaxhVjqnUdpF6f0vKw6QH,club rap night
02_english_night_drive_rap,Lolly - Single Version,"Maejor, Juicy J, Justin Bieber",Naughty Nights,,True,spotify:track:0VHp0azevcGGhiDBtoMlWN,club rap night
02_english_night_drive_rap,Sahran Belel,"Ahmed Bahaa, Lege-Cy",Sahran Belel,,False,spotify:track:3FtABfvxUrz5f8TuVep8fd,club rap night
02_english_night_drive_rap,Rock n Roll,"Leony, G-Eazy",Rock n Roll,,True,spotify:track:1T2zLWVcr4nXMrMnzyHUVl,club rap night
02_english_night_drive_rap,Can't Tame Her,Zara Larsson,VENUS,,False,spotify:track:0b8MRnjacbgVQlvLcg8JGQ,club rap night
02_english_night_drive_rap,TRRR,Shehab,Masr El Qadeema,,False,spotify:track:5QrmUcAhz4Vmoc5mAobpy7,club rap night
02_english_night_drive_rap,High Profile (feat. Gunna & Lil Gotit),"Danny Wolf, Gunna, Lil Gotit",Dark Nights In Paradise,,False,spotify:track:7LC5v3V3gTbeysLtAMp0en,club rap night
02_english_night_drive_rap,Night Drive,Paapi Muzik,Night Drive,,False,spotify:track:2QEpKKaocag4t9zDsOMooC,trap night drive
02_english_night_drive_rap,"Focus Lock (Dark Trap, 808 Bass, Night Drive)",TRAP KING MAFIA,No Fear Deep House Trap Mafia (Bass Boosted Car Music 2026),,True,spotify:track:1pwMjqHoNQ9GP4xZB5nkam,trap night drive
02_english_night_drive_rap,"Backseat Don (Deep House Trap, Car Music, Bass Boosted)",TRAP KING MAFIA,Trap Mafia Night Drive (Deep House & Bass Boosted 2026),,True,spotify:track:5oKfRlanPRNEFUFVQIPTxU,trap night drive
02_english_night_drive_rap,We Won,"Tion Wayne, Russ Millions",We Won,,True,spotify:track:0rLGYykaXj89TBOXq6Aief,trap night drive
02_english_night_drive_rap,DIGITAL,PAULTHEEOG,DIGITAL,,True,spotify:track:4uVXrQ1wRACMSVs5klZa8Z,trap night drive
02_english_night_drive_rap,Inner Monologue. (Interlude),oniluna,Genesis.,,True,spotify:track:5kOj7fpf0grbiFXBofWpIc,trap night drive
02_english_night_drive_rap,TOXIC,"Chri$tian Gate$, Dutch Melrose",No Strings Attached,,True,spotify:track:5QQj0SCBpVb9aim70Nfa6Q,toxic rap
02_english_night_drive_rap,Toxic,BoyWithUke,Serotonin Dreams,,False,spotify:track:3M214U0mwSm041GsQR3nrO,toxic rap
02_english_night_drive_rap,Toxic,BoyWithUke,Toxic,,False,spotify:track:2gQPv5jvVPqU2a9HhMNO1v,toxic rap
02_english_night_drive_rap,Toxic,VLI WEEZY,Toxic,,False,spotify:track:7311hRU1mZn3fYbWtaUlME,toxic rap
02_english_night_drive_rap,TOXIC (with Skepta),"Playboi Carti, Skepta",MUSIC,,True,spotify:track:4evMMKc2HD6fV9slMfgkMx,toxic rap
02_english_night_drive_rap,Toxic,Abyusif,Toxic,,False,spotify:track:6HQxltpW8LCAJXX7tWbMUF,toxic rap
02_english_night_drive_rap,TOXIC (with Skepta),"Playboi Carti, Skepta",MUSIC - SORRY 4 DA WAIT,,True,spotify:track:2OJ4JdnWRWlrEVueh8peoE,toxic rap
02_english_night_drive_rap,toxic city,Lil Peep,feelz,,True,spotify:track:1TYL7BonBQIssN0zpte1qQ,toxic rap
02_english_night_drive_rap,Prison Song,System Of A Down,Toxicity,,True,spotify:track:3AwLxSqo1jOOMpNsgxqRNE,toxic rap
03_english_club_rap,In Da Club,50 Cent,Get Rich Or Die Tryin',,True,spotify:track:7iL6o9tox1zgHpKUfh9vuC,club rap explicit
03_english_club_rap,(Explicit version) منافقين,"DJ Totti, Shehab",منافقين,,True,spotify:track:40OzlzlZdQqZqUl3SXh5m2,club rap explicit
